fold,roc_auc,average_precision,accuracy,balanced_accuracy,precision_greens,recall_greens,f1_greens
1,0.8460735171261486,0.4495438014037143,0.7862068965517242,0.7428989139515456,0.34210526315789475,0.6842105263157895,0.45614035087719296
2,0.6829573934837092,0.24817821507512702,0.6689655172413793,0.6307435254803676,0.21568627450980393,0.5789473684210527,0.3142857142857143
3,0.7057226399331662,0.22916538996393807,0.6344827586206897,0.722639933166249,0.24242424242424243,0.8421052631578947,0.3764705882352941
4,0.6629188712522045,0.23826789535899265,0.5625,0.6071428571428572,0.17391304347826086,0.6666666666666666,0.27586206896551724
5,0.7083333333333333,0.2696102841345488,0.7013888888888888,0.6388888888888888,0.2222222222222222,0.5555555555555556,0.31746031746031744
