encoded_feature,variable,code,value_label,importance
Q25_2_10,Q25_2,10,10 - Strongly Like,0.289
Q43_1,Q43,1,Strongly favour,0.235
Q25_2_8,Q25_2,8,8,0.129
Q28_2,Q28,2,Sometimes look after themselves,0.08
Q10_3,Q10,3,Did not care at all,0.072
Q37_5_98,Q37_5,98,Dont know,0.062
Q6_4_1,Q6_4,1,Yes,0.059
Q29_2,Q29,2,Mostly run for the big interests,0.046
Q30_1_2,Q30_1,2,No,0.026
Q39_0,Q39,0,0 Make greater efforts to make peoples incomes more equal,0.0
