criterion,max_depth,min_samples_leaf,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_greens_mean,precision_greens_std,recall_greens_mean,recall_greens_std,f1_greens_mean,f1_greens_std
gini,5,35,0.7212011510257124,0.06458743218282754,0.2869531171872642,0.08240105548860298,0.6707088122605364,0.07389937437831631,0.6684628237259818,0.053913619984224205,0.23927020915848485,0.05604175442426394,0.6654970760233917,0.10111379998386424,0.3480438079648072,0.06289373045288703
gini,3,20,0.7021813793743619,0.05413283891033853,0.2195569032099723,0.03587161771097274,0.6556800766283526,0.06826029381613921,0.678780284043442,0.06270285124187723,0.23467543859649123,0.048254413870516266,0.7099415204678363,0.09661342607886876,0.3511456340588081,0.06216176307406125
gini,4,20,0.698236331569665,0.06185854711179038,0.2360556950344442,0.04394551183729356,0.6445785440613027,0.06199997348171638,0.6667919799498746,0.05859497496655992,0.22494490129180883,0.0468924499101165,0.6970760233918128,0.10116452003653839,0.33862227140541445,0.06117457404375484
gini,4,35,0.6977327578204772,0.06071487941415311,0.2584819444763301,0.07329894509061116,0.6763314176245211,0.062634863522695,0.6358813700918964,0.04783266366446075,0.2205988986776731,0.036857227113303075,0.5812865497076023,0.11522693999298537,0.316544100396523,0.049392157008388796
gini,5,20,0.693671679197995,0.055883143833243,0.23533911829410092,0.0401212333169989,0.6652681992337164,0.04500686022649912,0.6471177944862155,0.06812077921723607,0.22122808938334307,0.04604691668302076,0.6228070175438597,0.1011543780605364,0.32627027027027034,0.06397322720501326
gini,2,50,0.6882483987747146,0.0515939816695825,0.20301629477672295,0.03129077264291828,0.6280363984674329,0.08299605635653638,0.6623224728487885,0.05337299850584895,0.22140595514909073,0.0412121136271922,0.7087719298245613,0.04785326911223109,0.33552671906084786,0.050078603411265576
entropy,4,35,0.6875823818806275,0.09485305857671711,0.25316626698582245,0.10675065095954654,0.6611685823754789,0.06630836909545476,0.6587301587301587,0.06728194019745688,0.22916430844670113,0.05664573496970854,0.6555555555555556,0.0866681661288789,0.33811641660712866,0.07114814716734029
gini,3,50,0.6858836907082522,0.054026323353055225,0.21825657851997043,0.04536763472836335,0.6321934865900383,0.07704248961660078,0.6378863826232246,0.03561421244050519,0.20916755171236603,0.02646191214780897,0.6456140350877193,0.11658419456727122,0.3128997747136256,0.030644643911299715
gini,4,50,0.6834168755221387,0.04770120798475503,0.24008720193132876,0.06275135283801067,0.6721934865900383,0.03852537099309308,0.6111528822055139,0.045351444871568135,0.20351341197643,0.029181007371097797,0.5286549707602339,0.09534854139035703,0.29262091664892365,0.042221953495802746
gini,5,50,0.6833031653207092,0.04457911774822382,0.2419751939393297,0.06196791428984937,0.6915038314176245,0.026838383083476358,0.6177944862155389,0.04212941550462746,0.2123281317025746,0.02583379698889493,0.5181286549707602,0.09789690272674423,0.2999893377015553,0.0395686235592664
gini,2,35,0.6811148240972802,0.06265713383059025,0.2017772991768767,0.032856273153868715,0.6280363984674329,0.08299605635653638,0.6623224728487885,0.05337299850584895,0.22140595514909073,0.0412121136271922,0.7087719298245613,0.04785326911223109,0.33552671906084786,0.050078603411265576
gini,2,20,0.6801169590643275,0.05066554416979859,0.20150203399824718,0.030724983820046965,0.6280363984674329,0.08299605635653638,0.6623224728487885,0.05337299850584895,0.22140595514909073,0.0412121136271922,0.7087719298245613,0.04785326911223109,0.33552671906084786,0.050078603411265576
gini,3,35,0.6762531328320802,0.04460256052013348,0.2139675412251963,0.04478767481258526,0.6169157088122605,0.08163703476194709,0.6243943191311612,0.024290385244431764,0.19987281228510734,0.022966927154415204,0.6345029239766081,0.1268345423319388,0.30001911871620573,0.02124440503955657
entropy,5,35,0.6748491599368792,0.12053380390593994,0.26343183287606686,0.12509577726118765,0.6706609195402298,0.0818992941666252,0.6240601503759399,0.0995411402314893,0.2185376694243971,0.09062341421378872,0.5608187134502924,0.1673618414651073,0.31098539866536484,0.11371931109649229
entropy,5,20,0.6696927503945047,0.07448947860782844,0.2397033766397129,0.07798964530585796,0.6542049808429119,0.08118403724252779,0.6371762740183792,0.07176553621538616,0.22083379876034734,0.06142562946382592,0.6140350877192983,0.08668000307771224,0.3220303177768282,0.07306173169167986
entropy,4,20,0.6652046783625731,0.050149075167408366,0.21048113475958036,0.041241928657285216,0.6528544061302682,0.07533809332280175,0.6494987468671679,0.0536477143914386,0.2248706891789322,0.05485209255565317,0.6450292397660818,0.07166069558849306,0.33038986672461246,0.061822577081765404
entropy,3,50,0.6583820662768031,0.06130073549050415,0.204591103256,0.04950858185192523,0.5448754789272031,0.11368894151650859,0.6108187134502924,0.0388539892055234,0.18567353703199974,0.03192000043553783,0.6994152046783625,0.10748786180947868,0.2888072054102456,0.032133315696099826
entropy,4,50,0.6581732108047897,0.05398066658101644,0.22469407878006672,0.07048538367484801,0.670823754789272,0.04396965314146942,0.6055973266499584,0.04035714669421212,0.20117049288271716,0.028828439682597896,0.5175438596491228,0.08073564844642021,0.2883795979388304,0.038933423887311504
entropy,2,50,0.6562378167641325,0.07580882529275834,0.18951437242659094,0.03991514583188238,0.5697030651340996,0.11645615614062223,0.6385129490392648,0.0658975786302827,0.2032131110011223,0.05016997379643821,0.7309941520467835,0.04892748693181729,0.3146571538434565,0.061128198143015025
entropy,5,50,0.654288499025341,0.055392518108021906,0.2319648845076642,0.06905182831366284,0.6737068965517241,0.07266254736183253,0.602422723475355,0.060639430226053136,0.2099630990610176,0.06378083734571241,0.5064327485380117,0.07023389378246751,0.29356609907601694,0.06902867005842393
entropy,3,35,0.654156223893066,0.05475308004435743,0.20240105605046504,0.04918983165553488,0.5295977011494253,0.10481500573582601,0.6068504594820384,0.035431048924950165,0.1809139449970313,0.03012433418000533,0.7105263157894737,0.10639418361789621,0.2840762769655384,0.029441031783226133
entropy,2,35,0.6510883690708252,0.0796733944337958,0.18843687553475505,0.040731892728192144,0.5697030651340996,0.11645615614062223,0.6385129490392648,0.0658975786302827,0.2032131110011223,0.05016997379643821,0.7309941520467835,0.04892748693181729,0.3146571538434565,0.061128198143015025
entropy,2,20,0.6503550543024227,0.06964521687560053,0.18816161035612552,0.03893883308739209,0.5697030651340996,0.11645615614062223,0.6385129490392648,0.0658975786302827,0.2032131110011223,0.05016997379643821,0.7309941520467835,0.04892748693181729,0.3146571538434565,0.061128198143015025
entropy,3,20,0.6481759955444166,0.04658533416699092,0.19331316154826136,0.029070412490728705,0.5489367816091955,0.11150845685088978,0.6269005847953217,0.05655343411035824,0.19480401391322216,0.04815051453682369,0.7315789473684211,0.04485803253980142,0.30380381170467635,0.05511741155081564
