fold,roc_auc,average_precision,accuracy,balanced_accuracy,precision_greens,recall_greens,f1_greens
1,0.9411027568922306,0.763157894736842,0.9517241379310345,0.9051796157059315,0.8,0.8421052631578947,0.8205128205128205
2,0.85421888053467,0.7120032487743368,0.903448275862069,0.8327067669172932,0.6086956521739131,0.7368421052631579,0.6666666666666666
3,0.8703007518796992,0.5069343318771236,0.903448275862069,0.8327067669172932,0.6086956521739131,0.7368421052631579,0.6666666666666666
4,0.810405643738977,0.48025429735956054,0.8263888888888888,0.8055555555555556,0.4,0.7777777777777778,0.5283018867924528
5,0.8908730158730158,0.6015538736748347,0.9305555555555556,0.8650793650793651,0.7,0.7777777777777778,0.7368421052631579
