cluster,n,sample_pct,greens_pct,labor_pct,voice_yes_pct,interest,social_media_days,pro_equality,warming_serious,democracy_dissatisfaction
0,443,55.2,14.9,67.1,78.3,3.12,3.14,7.27,3.35,2.43
1,359,44.8,10.0,44.7,45.3,2.3,2.0,6.68,2.72,3.13
